Date,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,WIPRO.NS
2025-04-30,949.6633911132812,1456.9815673828125,1399.410888671875,3338.330078125,230.8806610107422
2025-05-02,948.1341552734375,1463.586181640625,1414.152099609375,3316.388427734375,231.052734375
2025-05-05,955.4847412109375,1465.2371826171875,1425.6063232421875,3338.91015625,232.85964965820312
2025-05-06,952.9686889648438,1468.053955078125,1415.2476806640625,3344.419677734375,230.58428955078125
2025-05-07,959.8260498046875,1464.9459228515625,1400.4068603515625,3330.017333984375,233.3089599609375
2025-05-08,951.3900756835938,1467.956787109375,1401.4029541015625,3333.6904296875,230.9475860595703
2025-05-09,932.248779296875,1464.2659912109375,1371.721435546875,3325.3779296875,231.36822509765625
2025-05-12,965.5487060546875,1580.136962890625,1430.7855224609375,3499.46142578125,245.96678161621094
2025-05-13,948.4793701171875,1523.5125732421875,1410.0682373046875,3397.582275390625,240.5078582763672
2025-05-14,942.5594482421875,1546.6285400390625,1418.7337646484375,3430.15673828125,241.81761169433594
2025-05-15,954.0047607421875,1566.636474609375,1448.4151611328125,3460.314453125,245.28799438476562
2025-05-16,954.44873046875,1544.200439453125,1450.6064453125,3442.335693359375,243.1273651123047
2025-05-19,956.4220581054688,1514.9656982421875,1435.0684814453125,3401.25537109375,240.67994689941406
2025-05-20,944.6807861328125,1515.7425537109375,1418.932861328125,3381.4404296875,238.7296600341797
2025-05-21,950.5514526367188,1523.41552734375,1423.5145263671875,3408.021728515625,239.8864288330078
2025-05-22,947.1474609375,1503.0191650390625,1403.79345703125,3360.851806640625,235.12542724609375
2025-05-23,953.9060668945312,1519.8218994140625,1421.124267578125,3397.195556640625,236.4829864501953
2025-05-26,957.1619873046875,1535.070556640625,1429.0924072265625,3419.137451171875,239.23634338378906
2025-05-27,950.3047485351562,1524.969482421875,1416.44287109375,3381.826904296875,237.33384704589844
2025-05-28,948.9234008789062,1526.6207275390625,1407.279541015625,3380.8603515625,236.54989624023438
2025-05-29,950.896728515625,1540.02392578125,1412.1600341796875,3381.247314453125,239.14073181152344
2025-05-30,959.480712890625,1539.1375732421875,1415.2476806640625,3347.7060546875,238.69139099121094
2025-06-02,953.166015625,1530.371826171875,1408.0762939453125,3334.560546875,236.7888946533203
2025-06-03,949.466064453125,1519.734619140625,1399.908935546875,3291.4501953125,235.3931121826172
2025-06-04,957.6553344726562,1527.8109130859375,1417.8372802734375,3297.0087890625,236.00497436523438
2025-06-05,961.79931640625,1530.8642578125,1436.662109375,3287.451904296875,237.0374755859375
2025-06-06,976.1552734375,1540.2210693359375,1437.7576904296875,3300.226806640625,237.6588897705078
2025-06-09,976.2540283203125,1549.183837890625,1443.0367431640625,3336.991455078125,240.2401580810547
2025-06-10,969.5447387695312,1571.935546875,1432.777587890625,3376.97412109375,243.66275024414062
2025-06-11,962.1940307617188,1606.5062255859375,1443.13623046875,3385.750732421875,247.53468322753906
2025-06-12,958.74072265625,1584.345458984375,1435.865234375,3348.986083984375,248.19430541992188
2025-06-13,946.0127563476562,1577.844970703125,1422.2198486328125,3360.200927734375,248.76792907714844
2025-06-16,954.7940673828125,1599.31640625,1432.0804443359375,3409.54541015625,251.33009338378906
2025-06-17,951.9327392578125,1615.173583984375,1425.506591796875,3428.073974609375,251.34922790527344
2025-06-18,954.0540771484375,1608.2791748046875,1424.4110107421875,3365.75927734375,250.08724975585938
2025-06-19,954.7447509765625,1593.997802734375,1427.598388671875,3339.039306640625,253.90179443359375
2025-06-20,969.2486572265625,1598.429931640625,1460.367431640625,3350.448974609375,254.81959533691406
2025-06-23,961.2073974609375,1560.116455078125,1451.0048828125,3309.393798828125,251.66468811035156
2025-06-24,967.3740234375,1557.7525634765625,1445.0286865234375,3306.27294921875,253.31863403320312
2025-06-25,976.8953247070312,1590.550537109375,1461.463134765625,3359.3232421875,257.5633850097656
2025-06-26,997.4179077148438,1591.6339111328125,1489.3516845703125,3356.397705078125,256.7125244140625
2025-06-27,1004.9491577148438,1583.7545166015625,1509.3717041015625,3355.71533203125,253.3950958251953
